City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Toora-Khem,52.4675,96.11,33.55,86,100,2.33,RU,2022-04-21 19:11:38
59,Iqaluit,63.7506,-68.5145,15.91,78,100,10.31,CA,2022-04-21 19:11:38
60,Honghu,29.8206,113.4621,67.03,76,100,6.82,CN,2022-04-21 19:11:38
61,Beloha,-25.1667,45.05,72.64,83,84,17.87,MG,2022-04-21 19:11:39
62,Port Hawkesbury,45.6169,-61.3485,49.91,51,77,5.01,CA,2022-04-21 19:07:05
63,Mugur-Aksy,50.35,90.5,34.0,69,39,7.27,RU,2022-04-21 19:11:39
64,Natal,-5.795,-35.2094,86.65,66,20,11.5,BR,2022-04-21 19:11:39
65,Tuktoyaktuk,69.4541,-133.0374,3.96,91,83,5.86,CA,2022-04-21 19:11:40
66,Gamba,-2.65,10.0,78.53,89,100,3.89,GA,2022-04-21 19:11:41
67,Les Escoumins,48.1111,-69.0236,41.36,67,100,8.77,CA,2022-04-21 19:11:41
68,Hammerfest,70.6634,23.6821,39.65,93,75,19.57,NO,2022-04-21 19:11:42
69,Laguna,38.421,-121.4238,64.49,80,40,11.5,US,2022-04-21 19:07:37
70,Port Alfred,-33.5906,26.891,66.18,79,69,3.0,ZA,2022-04-21 19:11:42
71,Qaanaaq,77.484,-69.3632,-2.54,80,8,2.98,GL,2022-04-21 19:11:42
72,Henties Bay,-22.116,14.2845,66.94,74,0,5.08,NA,2022-04-21 19:11:43
73,Avarua,-21.2078,-159.775,77.05,61,20,8.05,CK,2022-04-21 19:11:41
74,Mahebourg,-20.4081,57.7,79.09,83,75,6.91,MU,2022-04-21 19:11:43
75,Guaymas,27.9333,-110.9,89.89,51,0,12.66,MX,2022-04-21 19:11:43
76,Algeciras,36.1333,-5.4505,60.48,63,20,19.57,ES,2022-04-21 19:11:44
77,Albany,42.6001,-73.9662,57.63,42,100,5.99,US,2022-04-21 19:07:36
78,High Level,58.5169,-117.136,35.82,87,72,4.54,CA,2022-04-21 19:11:44
79,Ancud,-41.8697,-73.8203,52.23,75,60,12.21,CL,2022-04-21 19:11:44
80,Oranjestad,12.524,-70.027,82.35,74,20,16.11,AW,2022-04-21 19:11:45
81,Tsagan Aman,47.5639,46.7218,58.17,37,100,7.94,RU,2022-04-21 19:11:45
82,Margate,51.3813,1.3862,51.69,79,0,8.01,GB,2022-04-21 19:11:45
83,Marzuq,14.4,46.4667,70.32,51,0,6.02,YE,2022-04-21 19:11:45
84,Saint-Philippe,-21.3585,55.7679,78.39,86,61,11.07,RE,2022-04-21 19:11:46
85,Cape Town,-33.9258,18.4232,63.91,72,1,7.0,ZA,2022-04-21 19:07:39
86,Tautira,-17.7333,-149.15,78.57,81,73,17.0,PF,2022-04-21 19:11:46
87,Kostomuksha,64.571,30.5767,41.86,93,100,3.89,RU,2022-04-21 19:11:47
88,Provideniya,64.3833,-173.3,25.68,87,12,10.51,RU,2022-04-21 19:11:47
89,Constitucion,-35.3333,-72.4167,55.81,58,100,4.18,CL,2022-04-21 19:11:47
90,Bethel,41.3712,-73.414,59.18,46,0,13.8,US,2022-04-21 19:08:08
91,Jamestown,42.097,-79.2353,53.19,78,100,12.66,US,2022-04-21 19:11:48
92,Clyde River,70.4692,-68.5914,3.43,78,100,14.97,CA,2022-04-21 19:12:48
93,Leningradskiy,69.3833,178.4167,13.82,91,100,2.28,RU,2022-04-21 19:12:48
94,Parana,-31.732,-60.5238,77.56,59,61,2.93,AR,2022-04-21 19:12:48
95,Bowling Green,36.9903,-86.4436,75.94,53,100,9.22,US,2022-04-21 19:08:49
96,Avera,33.194,-82.5271,78.39,48,65,6.58,US,2022-04-21 19:12:49
97,Stillwater,36.1156,-97.0584,82.67,51,75,25.32,US,2022-04-21 19:12:49
98,Escanaba,45.7453,-87.0646,51.94,54,75,18.41,US,2022-04-21 19:12:49
99,Ilulissat,69.2167,-51.1,39.22,56,75,16.11,GL,2022-04-21 19:12:50
100,Bar Harbor,44.3876,-68.2039,50.27,61,0,14.97,US,2022-04-21 19:12:50
101,Iranshahr,27.2025,60.6848,82.06,15,1,3.22,IR,2022-04-21 19:12:50
102,Luba,3.4568,8.5547,82.35,80,91,9.01,GQ,2022-04-21 19:12:51
103,Asosa,10.0667,34.5333,65.95,82,100,2.1,ET,2022-04-21 19:12:51
104,Camocim,-2.9022,-40.8411,81.5,84,99,9.69,BR,2022-04-21 19:12:51
105,Palmer,42.1584,-72.3287,60.62,33,100,27.63,US,2022-04-21 19:12:51
106,Hobart,-42.8794,147.3294,49.86,75,100,9.22,AU,2022-04-21 19:10:03
107,Prince Rupert,54.3161,-130.3201,51.84,51,65,4.85,CA,2022-04-21 19:12:17
108,Jinchang,38.4953,102.1739,52.11,21,96,0.76,CN,2022-04-21 19:12:52
109,New Norfolk,-42.7826,147.0587,49.5,70,20,2.98,AU,2022-04-21 19:12:52
110,Kavieng,-2.5744,150.7967,82.8,74,100,15.12,PG,2022-04-21 19:12:53
111,Kapaa,22.0752,-159.319,75.18,83,75,13.8,US,2022-04-21 19:12:53
112,Atambua,-9.1061,124.8925,72.79,88,100,4.41,ID,2022-04-21 19:12:53
113,Victoria,22.2855,114.1577,75.38,87,37,4.0,HK,2022-04-21 19:08:03
114,Arraial Do Cabo,-22.9661,-42.0278,76.86,73,40,8.05,BR,2022-04-21 19:09:36
115,Ribeira Grande,38.5167,-28.7,59.4,58,40,10.36,PT,2022-04-21 19:12:54
116,Stephenville Crossing,48.5,-58.4318,35.08,66,68,9.15,CA,2022-04-21 19:12:54
117,Ambon,-3.6954,128.1814,75.34,94,20,6.91,ID,2022-04-21 19:12:01
118,Shahjahanpur,27.8833,79.9167,85.98,22,100,6.87,IN,2022-04-21 19:12:54
119,Caravelas,-17.7125,-39.2481,79.86,63,2,8.05,BR,2022-04-21 19:12:55
120,Bambanglipuro,-7.95,110.2833,75.72,91,76,3.62,ID,2022-04-21 19:12:55
121,Evensk,61.95,159.2333,14.45,82,100,10.18,RU,2022-04-21 19:12:55
122,Seydisehir,37.4193,31.8453,53.73,51,100,3.06,TR,2022-04-21 19:09:14
123,Khatanga,71.9667,102.5,-4.68,100,92,5.88,RU,2022-04-21 19:12:56
124,Upernavik,72.7868,-56.1549,14.74,70,100,5.3,GL,2022-04-21 19:12:56
125,Korla,41.7597,86.1469,65.44,30,53,8.48,CN,2022-04-21 19:12:56
126,Dayong,25.0209,118.2898,69.76,91,100,0.81,CN,2022-04-21 19:12:57
127,Zalari,53.5584,102.5065,33.37,66,98,5.99,RU,2022-04-21 19:12:57
128,Sorland,67.667,12.6934,42.66,81,100,11.12,NO,2022-04-21 19:12:57
129,Siavonga,-16.5382,28.7088,70.07,84,100,5.97,ZM,2022-04-21 19:12:57
130,Atar,20.5169,-13.0499,86.85,8,55,15.68,MR,2022-04-21 19:12:58
131,Poum,-20.2333,164.0167,75.72,76,15,10.0,NC,2022-04-21 19:12:58
132,Hay River,60.8156,-115.7999,35.96,74,86,4.32,CA,2022-04-21 19:09:07
133,Hasaki,35.7333,140.8333,63.0,93,100,33.08,JP,2022-04-21 19:12:58
134,Sao Felix Do Xingu,-6.6447,-51.995,79.23,95,100,1.59,BR,2022-04-21 19:12:59
135,Agadez,19.75,10.25,88.59,12,43,1.21,NE,2022-04-21 19:12:59
