City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Graciano Sanchez,MX,70.75,few clouds,23.9167,-99.2833,Familia Martinez Martinez
553,Lisakovsk,KZ,71.31,broken clouds,52.5369,62.4936,Gostinitsa Lisakovsk
554,Cabo San Lucas,MX,72.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
557,Santa Rosalia,MX,70.9,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
560,Jijiga,ET,71.47,overcast clouds,9.35,42.8,RAMAAS HOTEL
567,Kitui,KE,72.54,moderate rain,-1.367,38.0106,Heritage Bliss Hotel
570,Giyani,ZA,72.68,broken clouds,-23.3025,30.7187,Kulani Country Lodge
575,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
580,Vryburg,ZA,71.76,clear sky,-26.9566,24.7284,The Times Premier Lodge
584,Carutapera,BR,76.93,very heavy rain,-1.195,-46.02,Lidera
587,Pochutla,MX,79.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
588,Kupang,ID,76.06,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
596,Dire Dawa,ET,75.16,light rain,9.5931,41.8661,Samrat Hotel
599,Marrakesh,MA,73.47,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
613,Katobu,ID,76.42,overcast clouds,-4.9408,122.5276,La Ode Husein
619,Antalaha,MG,78.48,broken clouds,-14.9003,50.2788,Hotel Vitasoa
621,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
624,Hirara,JP,78.57,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
625,Mut,TR,78.22,overcast clouds,36.6439,33.4389,Konak Otel
632,Marsh Harbour,BS,74.17,clear sky,26.5412,-77.0636,Abaco Beach Resort
636,Carpentras,FR,72.79,few clouds,44.0833,5.1667,"Château de Mazan, Best Western Premier Collection"
645,Marawi,PH,70.39,overcast clouds,7.9986,124.2928,Derogongan Residence
646,Vangaindrano,MG,75.02,broken clouds,-23.35,47.6,Hotel Fanilo
651,Rossano,IT,70.12,clear sky,39.5751,16.6349,Hotel Scigliano
656,Luganville,VU,77.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
658,Huicungo,PE,75.45,mist,-7.2833,-76.8,Gran Pajaten Trek
661,Puerto Penasco,MX,70.92,clear sky,31.3167,-113.5333,Playa Bonita Resort
666,Aitape,PG,79.81,broken clouds,-3.1374,142.3475,
667,Bailesti,RO,74.95,clear sky,44.0167,23.35,Royal Hotel & Events
668,Kangshan,CN,70.72,overcast clouds,28.8812,116.4311,
669,Vao,NC,74.73,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
