City_ID,City,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
71,Ekibastuz,51.6667,75.3667,63.09,63.09,39,94,7.38,KZ,overcast clouds
72,Bambous Virieux,-20.3428,57.7575,75.22,79.05,73,20,6.91,MU,light rain
73,Lianzhou,24.7811,112.3825,75.27,75.27,94,39,2.19,CN,scattered clouds
74,Norman Wells,65.282,-126.8329,30.24,30.24,80,75,4.61,CA,broken clouds
75,Itoman,26.1247,127.6694,77.38,78.82,92,75,12.66,JP,broken clouds
76,Palmer,42.1584,-72.3287,46.31,51.39,62,75,14.97,US,broken clouds
77,Ferrol,43.4832,-8.2369,55.35,59.23,82,61,7.74,ES,light rain
78,Daugai,54.3667,24.3333,49.23,49.23,41,46,11.45,LT,scattered clouds
79,La Ronge,55.1001,-105.2842,32.22,32.25,64,20,10.36,CA,few clouds
80,Hermanus,-34.4187,19.2345,75.79,75.79,56,6,7.63,ZA,clear sky
81,Solginskiy,61.05,41.3428,32.94,32.94,68,100,9.28,RU,overcast clouds
82,Shelburne,44.0787,-80.2041,25.59,31.91,75,99,15.9,CA,overcast clouds
83,Rexburg,43.826,-111.7897,31.51,39.81,75,0,3.44,US,clear sky
84,Cockburn Town,21.4612,-71.1419,74.8,74.8,67,39,16.04,TC,scattered clouds
85,Kozhva,65.1073,57.0459,31.53,31.53,65,99,5.5,RU,overcast clouds
86,Tvoroyri,61.5556,-6.8111,44.87,44.87,71,100,11.45,FO,overcast clouds
87,Leningradskiy,69.3833,178.4167,14.77,14.77,92,100,9.64,RU,overcast clouds
88,Am Timan,11.0297,20.2827,98.4,98.4,27,82,9.1,TD,broken clouds
89,Bunbury,-33.3333,115.6333,59.74,59.74,63,100,3.38,AU,overcast clouds
90,Micomeseng,2.1462,10.6164,77.63,77.63,87,87,2.64,GQ,moderate rain
91,Svetlogorsk,52.6333,29.7333,53.2,53.2,55,95,9.08,BY,overcast clouds
92,Bubaque,11.2833,-15.8333,77.81,77.81,78,25,14.23,GW,scattered clouds
93,Dingle,10.9995,122.6711,78.62,78.62,87,88,7.25,PH,overcast clouds
94,Turukhansk,65.8167,87.9833,32.38,32.38,76,86,16.31,RU,overcast clouds
